date,bubble_proxy,breakdown_proxy,market_heat_proxy,market_breakdown_proxy,liquidity_stress_proxy,semiconductor_strength_proxy,tsmc_3m_yoy,ndx_close,ndx_dd,ndx_dist200,sox_dd,sox_dist200,vix,baa10y_proxy,dfii10,event_bucket
2012-07-31,35.8609901322986,45.43514945378027,33.874227917741045,58.704082119511696,30.18089285714286,57.725,26.18,2642.530029296875,-43.8324826235067,5.156854302311431,-71.20797109360888,-1.9970165074533197,18.93,3.27,-0.69,Normal/control
2012-08-31,44.06130255337826,42.78378356777494,41.43783090334213,55.00000000000001,29.96081019364268,62.262499999999996,29.81,2772.239990234375,-41.07547081887649,8.387889884676468,-70.27304866838546,0.7211101881525073,17.47,3.21,-0.68,Normal/control
2012-09-30,41.862119485323056,41.64729057736052,36.03877187732561,59.886552906379784,22.86669076997035,66.525,33.22,2799.18994140625,-40.50264408314979,7.234327933699447,-71.3167712427975,-3.4318275847931234,15.73,3.07,-0.77,Normal/control
2012-10-31,27.77886164012386,46.69096105045542,19.93169355144922,68.54610625591401,24.97918067226891,64.48750000000001,31.59,2647.919921875,-43.71791935206497,-0.30434379873880424,-72.4602879684447,-7.407466503020843,18.6,2.73,-0.78,Normal/control
2012-11-30,31.68617439592702,46.658397749641296,23.862899774231725,64.76660404653661,27.80978836771377,61.1,28.88,2677.8798828125,-43.08111424184874,0.315798292428604,-71.91103887586827,-4.3769959269789,15.87,2.95,-0.79,Normal/control
2012-12-31,30.392517147192812,45.30918962488302,24.181018602798293,60.04385169038627,27.734161040597716,57.087500000000006,25.67,2660.929931640625,-43.44138892801014,-0.46393125376908984,-71.18245982404392,-0.8660741562613206,18.02,2.85,-0.67,Normal/control
2013-01-31,33.33252930737026,42.02930018659725,29.762105479752016,57.86557776858123,22.720829116387694,59.8125,27.85,2731.530029296875,-41.94076938237543,2.2010713204699828,-69.03123535638014,7.267880062682419,14.28,2.82,-0.57,Normal/control
2013-02-28,33.354103531739284,42.371087978437444,31.59760501389747,55.73588452067415,26.16411412609737,59.3375,27.47,2738.580078125,-41.79091914958008,2.2277237690055296,-67.9882638542612,10.438343790337345,15.51,2.89,-0.64,Normal/control
2013-03-31,33.741548156366754,40.484741063357035,33.276230956721804,55.05583299558243,21.563189186699823,59.18750000000001,27.35,2818.68994140625,-40.08816758649743,4.207978797542489,-67.2356733876035,11.298864148283116,12.7,2.96,-0.64,Normal/control
2013-04-30,36.039029643900996,41.8488255086072,37.24692345914782,55.00000000000001,22.318072881734853,53.5625,22.85,2887.43994140625,-38.62687224573591,5.727839846453309,-66.65791331599883,11.599447406612429,13.52,2.83,-0.64,Normal/control
2013-05-31,41.990924098531806,44.65817457689478,43.904724507390824,55.00000000000001,29.323355933985077,51.775000000000006,21.42,2981.760009765625,-36.622079861243364,7.671543605519693,-64.83683778780266,14.991224278698677,16.3,2.79,-0.05,Normal/control
2013-06-30,39.11427542023917,44.04855674846626,39.478946665098924,55.00000000000001,28.87444785276074,54.03750000000001,23.23,2909.60009765625,-38.1558535827734,4.4494751874698535,-64.85184549453713,13.059624240422574,16.86,2.83,0.53,Normal/control
2013-07-31,42.170333249513945,41.41042852798054,45.63269188566661,55.00000000000001,17.229795794230103,46.85,17.48,3090.18994140625,-34.31737944079922,9.984521069678308,-64.1502775670094,12.605270941285074,13.45,2.68,0.38,Normal/control
2013-08-31,38.030266529396506,45.82904069282137,41.871037809559326,55.00000000000001,28.3758305509182,44.262499999999996,15.41,3073.81005859375,-34.66553720714287,7.570461112414928,-65.65695835505642,5.227331719621087,17.01,2.56,0.68,Normal/control
2013-09-30,43.72719679947228,44.71354732510289,48.73373806654166,55.00000000000001,25.917278071722517,45.537499999999994,16.43,3218.199951171875,-31.596500446743313,10.47114926956434,-63.171085383730166,9.914185834750832,16.6,2.75,0.45,Normal/control
2013-10-31,47.51905413760571,42.024375,51.65961127670669,55.00000000000001,17.27678571428571,43.862500000000004,15.09,3377.72998046875,-28.205656977316817,13.272414038970082,-61.95103255953347,10.494672375917657,13.75,2.65,0.4,Normal/control
2013-11-30,48.09782134002004,44.209840909090914,53.144413127431655,55.00000000000001,21.035259740259736,39.5125,11.61,3487.820068359375,-25.86566959551906,14.471340618826268,-61.7139249902269,9.137976615940314,13.7,2.61,0.6,Normal/control
